name	x	y	z	size	AnatomicalLocation
mAHL1	-29.5022842640582	-22.7198354451528	-17.8901837569854	1.3	Hipp, Left Hippocampus cHipp, caudal hippocampus
mAHL2	-34.2551050358542	-19.4802515888241	-19.0455236247897	1.3	Hipp, Left Hippocampus cHipp, caudal hippocampus
mAHL3	-39.7946031339936	-16.5448119194293	-19.936438206337	1.3	no_label_found
mAHL4	-44.0555448262567	-14.0071172737999	-21.0773442131453	1.3	no_label_found
mAHL5	-48.7596792091457	-11.9333640192452	-21.956360976369	1.3	no_label_found
mAHL6	-53.1217789657421	-8.69448470731838	-23.0202347642623	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
mAHL7	-56.5763373254618	-5.89293935638282	-23.8420456242773	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
mAHL8	-59.9194358954117	-2.74247325755213	-24.9173220425538	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
mAHR1	34.2740089847558	-14.8617880764701	-19.964042972352	1.3	Hipp, Right Hippocampus cHipp, caudal hippocampus
mAHR2	38.9934167409561	-12.7434152169371	-18.3884393060292	1.3	no_label_found
mAHR3	43.9741234126949	-11.3410914541009	-17.6399513595336	1.3	no_label_found
mAHR4	48.5424802730253	-9.24283674298376	-16.2935780872224	1.3	MTG, Right Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mAHR5	52.9823108272525	-7.22009623769705	-14.9682288305248	1.3	STG, Right Superior Temporal Gyrus A22r, rostral area 22
mAHR6	57.8380821447872	-6.32671165114555	-13.4210374355337	1.3	MTG, Right Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mAHR7	62.4909094917818	-4.28496222469111	-12.0014477898342	1.3	MTG, Right Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mAHR8	66.5348729744387	-2.28167394230899	-11.0388807810728	1.3	no_label_found
mLL1	-38.625	-59.625	-25.875	1.3	no_label_found
mLL2	-42.0625	-61.5625	-23.021	1.3	no_label_found
mLL3	-45.5	-63.5	-20.167	1.3	FuG, Left Fusiform Gyrus A37lv, lateroventral area37
mLL4	-49.4165	-65.5835	-17.5	1.3	FuG, Left Fusiform Gyrus A37lv, lateroventral area37
mLL5	-53.333	-67.667	-14.833	1.3	LOcC, Left lateral Occipital Cortex V5/MT+, area V5/MT+
mLL6	n/a	n/a	n/a	1.3	n/a
mLL7	n/a	n/a	n/a	1.3	n/a
mLL8	n/a	n/a	n/a	1.3	n/a
mPHL1	-37.0605149535588	-35.3859282462807	-9.55430463021913	1.3	no_label_found
mPHL2	-41.6449980328193	-32.3583982372734	-9.63730394704023	1.3	no_label_found
mPHL3	-45.9576462709602	-28.5472374612777	-9.65289485120803	1.3	no_label_found
mPHL4	-50.3622491608297	-25.1520962897945	-9.74999006784675	1.3	MTG, Left Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mPHL5	-55.196955189485	-22.6456798728478	-9.82824571391443	1.3	MTG, Left Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mPHL6	-59.8156221136671	-19.2954088590472	-9.80971648260505	1.3	MTG, Left Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mPHL7	-63.6518963776237	-15.8884855428754	-9.4965323902207	1.3	MTG, Left Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mPHL8	-67.6539730419641	-12.0293857937411	-9.76341963148072	1.3	MTG, Left Middle Temporal Gyrus aSTS, anterior superior temporal sulcus
mPHR1	32.6876763129804	-30.9583529431715	-7.5563607200828	1.3	Hipp, Right Hippocampus cHipp, caudal hippocampus
mPHR2	38.3224690659	-29.8152254815016	-6.47137357808841	1.3	no_label_found
mPHR3	42.2006648825593	-28.05485317107	-5.11521730303552	1.3	no_label_found
mPHR4	47.9385841065975	-26.2658244390957	-3.81759923715712	1.3	STG, Right Superior Temporal Gyrus A22c, caudal area 22
mPHR5	52.9822179701684	-24.2166449525121	-2.5034155220123	1.3	STG, Right Superior Temporal Gyrus A22c, caudal area 22
mPHR6	58.0046229811676	-22.47976146595	-0.853248517453678	1.3	STG, Right Superior Temporal Gyrus A22c, caudal area 22
mPHR7	62.2955363915864	-20.8280452722104	0.490111991834365	1.3	STG, Right Superior Temporal Gyrus A22c, caudal area 22
mPHR8	66.966322862456	-19.1650614573956	0	1.3	STG, Right Superior Temporal Gyrus A22c, caudal area 22
mPL1	-26	-91	-8	4	LOcC, Left lateral Occipital Cortex V5/MT+, area V5/MT+
mPL2	-35	-86	-3	4	LOcC, Left lateral Occipital Cortex V5/MT+, area V5/MT+
mPL3	-42	-82	0	4	IPL, Left Inferior Parietal Lobule A39rv, rostroventral area 39 (PGa)
mPL4	-49	-77	4.5	4	no_label_found
mPL5	-54	-68.429	9.286	4	no_label_found
mPL6	-56	-60	14.7	4	FuG, Left Fusiform Gyrus A37lv, lateroventral area37
